0	SRR052047
1	SRR052148
2	SRR053437
3	SRR053600
4	SRR053602
5	SRR053604
6	SRR053605
7	SRR053606
8	SRR053607
9	SRR053608
10	SRR053609
11	SRR053610
12	SRR053611
13	SRR053615
14	SRR053616
15	SRR053617
16	SRR053618
17	SRR053619
18	SRR053620
19	SRR053623
20	SRR053624
21	SRR053629
22	SRR053630
23	SRR053631
24	SRR053632
25	SRR053633
26	SRR053634
27	SRR053635
28	SRR053636
29	SRR053637
30	SRR053638
31	SRR053639
32	SRR053666
33	SRR053667
34	SRR053668
35	SRR053669
36	SRR053670
37	SRR053671
38	SRR053672
39	SRR053673
40	SRR053674
41	SRR053675
42	SRR053676
43	SRR053677
44	SRR053678
45	SRR053679
46	SRR053680
47	SRR053681
48	SRR054213
49	SRR054565
50	SRR054566
51	SRR054567
52	SRR054568
53	SRR054569
54	SRR054570
55	SRR054571
56	SRR054572
57	SRR054573
58	SRR054574
59	SRR054575
60	SRR054576
61	SRR054577
62	SRR054578
63	SRR054592
64	SRR054594
65	SRR054596
66	SRR054597
67	SRR054598
68	SRR054600
69	SRR054601
70	SRR054602
71	SRR054603
72	SRR054604
73	SRR054605
74	SRR054606
75	SRR054607
76	SRR054608
77	SRR054609
78	SRR054610
79	SRR054611
80	SRR054612
81	SRR054613
82	SRR054614
83	SRR054615
84	SRR054616
85	SRR054618
86	SRR054620
87	SRR054622
88	SRR054626
89	SRR054632
90	SRR054633
91	SRR054634
92	SRR089377
93	SRR089378
94	SRR089379
95	SRR089397
96	SRR089401
97	SRR089402
98	SRR089403
